38,36.5,"Paedomorph","M"
39,32.5,"Paedomorph","H"
39,32,"Paedomorph","H"
39,32,"Paedomorph","H"
39,32,"Paedomorph","H"
40,42.5,"Metamorph","H"
1,34,"Paedomorph","H"
1,35,"Metamorph","M"
1,36,"Paedomorph","L"
1,37,"Metamorph","H"
2,38,"Paedomorph","M"
2,39,"Paedomorph","L"
2,40,"Paedomorph","H"
2,41,"Paedomorph","M"
2,42,"Paedomorph","L"
2,43,"Paedomorph","H"
2,44,"Paedomorph","H"
3,45,"Paedomorph","H"
3,46,"Paedomorph","H"
3,47,"Paedomorph","H"
3,48,"Paedomorph","H"
3,31,"Paedomorph","H"
3,32,"Paedomorph","H"
3,33,"Paedomorph","H"
4,34,"Paedomorph","H"
4,35,"Paedomorph","H"
4,36,"Paedomorph","H"
4,37,"Paedomorph","H"
4,38,"Paedomorph","H"
4,39,"Paedomorph","H"
4,40,"Paedomorph","H"
4,41,"Paedomorph","H"
5,42,"Paedomorph","H"
5,43,"Paedomorph","H"
5,44,"Paedomorph","H"
5,45,"Paedomorph","H"
5,46,"Paedomorph","H"
6,47,"Metamorph","H"
6,48,"Metamorph","H"
6,49,"Metamorph","H"
7,50,"Metamorph","H"
7,51,"Metamorph","H"
8,52,"Metamorph","M"
8,53,"Metamorph","M"
9,34,"Metamorph","M"
10,31,"Metamorph","M"
11,32,"Metamorph","M"
12,32,"Metamorph","M"
12,32,"Metamorph","M"
12,32,"Metamorph","M"
12,30,"Metamorph","M"
12,30,"Metamorph","M"
13,30,"Metamorph","M"
13,30,"Metamorph","M"
13,45,"Metamorph","M"
13,45,"Metamorph","M"
14,45,"Metamorph","M"
14,32,"Metamorph","M"
14,31,"Metamorph","M"
14,31,"Metamorph","M"
15,31,"Metamorph","M"
15,31,"Metamorph","M"
15,31,"Metamorph","M"
15,31,"Metamorph","M"
15,31,"Paedomorph","M"
15,31,"Paedomorph","M"
16,31,"Paedomorph","M"
16,31,"Paedomorph","M"
16,31,"Paedomorph","M"
16,31,"Paedomorph","M"
17,31,"Paedomorph","M"
17,31,"Paedomorph","M"
17,31,"Paedomorph","M"
17,31,"Paedomorph","M"
18,31,"Paedomorph","M"
18,31,"Paedomorph","M"
18,31,"Paedomorph","M"
18,31,"Paedomorph","M"
18,31,"Paedomorph","M"
19,31,"Paedomorph","M"
19,31,"Paedomorph","M"
19,31,"Paedomorph","M"
19,31,"Paedomorph","M"
19,31,"Paedomorph","M"
20,31,"Paedomorph","M"
20,31,"Paedomorph","M"
20,31,"Paedomorph","M"
20,31,"Paedomorph","M"
20,31,"Paedomorph","M"
20,31,"Paedomorph","M"
20,31,"Paedomorph","M"
21,31,"Paedomorph","M"
21,31,"Paedomorph","M"
21,31,"Paedomorph","M"
22,34,"Paedomorph","M"
23,34,"Paedomorph","M"
23,34,"Paedomorph","M"
23,34,"Paedomorph","M"
24,34,"Paedomorph","M"
24,34,"Paedomorph","M"
24,34,"Paedomorph","M"
24,34,"Paedomorph","M"
25,34,"Paedomorph","M"
25,34,"Paedomorph","M"
25,34,"Paedomorph","M"
26,34,"Paedomorph","M"
26,34,"Paedomorph","M"
27,34,"Paedomorph","M"
27,34,"Paedomorph","M"
27,34,"Paedomorph","M"
28,34,"Paedomorph","M"
28,34,"Paedomorph","M"
28,34,"Paedomorph","M"
29,34,"Paedomorph","M"
29,34,"Paedomorph","M"
29,34,"Paedomorph","M"
29,34,"Paedomorph","M"
30,34,"Paedomorph","M"
30,34,"Paedomorph","M"
30,34,"Paedomorph","M"
30,34,"Paedomorph","M"
30,34,"Paedomorph","M"
31,34,"Paedomorph","M"
31,34,"Paedomorph","M"
31,34,"Paedomorph","M"
31,44,"Paedomorph","M"
31,44,"Paedomorph","M"
31,44,"Paedomorph","M"
31,44,"Paedomorph","M"
31,44,"Paedomorph","M"
31,44,"Paedomorph","M"
31,44,"Paedomorph","M"
31,44,"Paedomorph","M"
32,44,"Paedomorph","M"
32,44,"Paedomorph","M"
32,44,"Paedomorph","M"
32,44,"Paedomorph","M"
32,44,"Paedomorph","M"
32,44,"Paedomorph","M"
32,44,"Paedomorph","L"
32,44,"Paedomorph","L"
32,44,"Paedomorph","L"
32,44,"Paedomorph","L"
32,44,"Paedomorph","L"
32,44,"Paedomorph","L"
32,44,"Paedomorph","L"
32,44,"Paedomorph","L"
32,44,"Paedomorph","L"
32,44,"Paedomorph","L"
33,44,"Paedomorph","L"
34,27,"Paedomorph","L"
34,27,"Metamorph","L"
34,27,"Metamorph","L"
35,27,"Metamorph","L"
36,27,"Metamorph","L"
37,27,"Metamorph","L"
37,27,"Metamorph","L"
37,27,"Metamorph","L"
37,27,"Metamorph","L"
37,27,"Metamorph","L"
38,27,"Metamorph","L"
38,27,"Metamorph","L"
38,27,"Metamorph","L"
38,27,"Metamorph","L"
39,27,"Metamorph","L"
39,27,"Metamorph","L"
39,27,"Metamorph","L"
39,27,"Metamorph","L"
40,27,"Metamorph","L"
